Date,Apple_Price,Apple_Vol.
2022-12-20,132.3,77432820.0
2022-12-19,132.37,79592610.0
2022-12-16,134.51,160156900.0
2022-12-15,136.5,98931910.0
2022-12-14,143.21,82291180.0
2022-12-13,145.47,93886160.0
2022-12-12,144.49,70462650.0
2022-12-09,142.16,76097010.0
2022-12-08,142.65,62128340.0
2022-12-07,140.94,69721090.0
2022-12-06,142.91,64727190.0
2022-12-05,146.63,68826440.0
2022-12-02,147.81,65447450.0
2022-12-01,148.31,71250420.0
2022-11-30,148.03,111380900.0
2022-11-29,141.17,83763800.0
2022-11-28,144.22,69346520.0
2022-11-25,148.11,35195860.0
2022-11-23,151.07,58301400.0
2022-11-22,150.18,51804130.0
2022-11-21,148.01,58724070.0
2022-11-18,151.29,74829570.0
2022-11-17,150.72,80389400.0
2022-11-16,148.79,64218270.0
2022-11-15,150.04,89868330.0
2022-11-14,148.28,73374110.0
2022-11-11,149.7,93979670.0
2022-11-10,146.87,118854000.0
2022-11-09,134.87,74917790.0
2022-11-08,139.5,89908480.0
2022-11-07,138.92,83374630.0
2022-11-04,138.38,140814800.0
2022-11-03,138.88,97918520.0
2022-11-02,145.03,93604620.0
2022-11-01,150.65,80379350.0
2022-10-31,153.34,97943170.0
2022-10-28,155.74,164762400.0
2022-10-27,144.8,109180200.0
2022-10-26,149.35,88436170.0
2022-10-25,152.34,74732290.0
2022-10-24,149.45,75981920.0
2022-10-21,147.27,86548610.0
2022-10-20,143.39,64521990.0
2022-10-19,143.86,61758340.0
2022-10-18,143.75,99136610.0
2022-10-17,142.41,85250940.0
2022-10-14,138.38,88597970.0
2022-10-13,142.99,113224000.0
2022-10-12,138.34,70433740.0
2022-10-11,138.98,77033670.0
2022-10-10,140.42,74899000.0
2022-10-07,140.09,85925560.0
2022-10-06,145.43,68402170.0
2022-10-05,146.4,79470970.0
2022-10-04,146.1,87830060.0
2022-10-03,142.45,114311700.0
2022-09-30,138.2,124925300.0
2022-09-29,142.48,128138200.0
2022-09-28,149.84,146691400.0
2022-09-27,151.76,84442740.0
2022-09-26,150.77,93339410.0
2022-09-23,150.43,96029910.0
2022-09-22,152.74,86652540.0
2022-09-21,153.72,101696800.0
2022-09-20,156.9,107689800.0
2022-09-19,154.48,81474250.0
