Date,Apple_Price,Apple_Vol.
03/08/2024,$170.73,76267040
03/07/2024,$169.00,71765060
03/06/2024,$169.12,68587710
03/05/2024,$170.12,95132360
03/04/2024,$175.10,81510100
03/01/2024,$179.66,73563080
02/29/2024,$180.75,136682600
02/28/2024,$181.42,48953940
02/27/2024,$182.63,54318850
02/26/2024,$181.16,40867420
02/23/2024,$182.52,45119680
02/22/2024,$184.37,52292210
02/21/2024,$182.32,41529670
02/20/2024,$181.56,53665550
02/16/2024,$182.31,49752470
02/15/2024,$183.86,65434500
02/14/2024,$184.15,54630520
02/13/2024,$185.04,56529530
02/12/2024,$187.15,41781930
02/09/2024,$188.85,45155220
02/08/2024,$188.32,40962050
02/07/2024,$189.41,53438960
02/06/2024,$189.30,43490760
02/05/2024,$187.68,69668820
02/02/2024,$185.85,102551700
02/01/2024,$186.86,64885410
01/31/2024,$184.40,55467800
01/30/2024,$188.04,55859370
01/29/2024,$191.73,47145620
01/26/2024,$192.42,44594010
01/25/2024,$194.17,54822130
01/24/2024,$194.50,53631320
01/23/2024,$195.18,42355590
01/22/2024,$193.89,60133850
01/19/2024,$191.56,68902990
01/18/2024,$188.63,78005750
01/17/2024,$182.68,47317430
01/16/2024,$183.63,65603040
01/12/2024,$185.92,40477780
01/11/2024,$185.59,49128410
01/10/2024,$186.19,46792910
01/09/2024,$185.14,42841810
01/08/2024,$185.56,59144470
01/05/2024,$181.18,62379660
01/04/2024,$181.91,71983570
01/03/2024,$184.25,58414460
01/02/2024,$185.64,82488670
12/29/2023,$192.53,42672150
12/28/2023,$193.58,34049900
12/27/2023,$193.15,48087680
12/26/2023,$193.05,28919310
12/22/2023,$193.60,37149570
12/21/2023,$194.68,46482550
12/20/2023,$194.83,52242820
12/19/2023,$196.94,40714050
12/18/2023,$195.89,55751860
12/15/2023,$197.57,128538400
12/14/2023,$198.11,66831570
12/13/2023,$197.96,70404180
12/12/2023,$194.71,52696900
12/11/2023,$193.18,60943700
12/08/2023,$195.71,53406360
12/07/2023,$194.27,47477660
12/06/2023,$192.32,41089740
12/05/2023,$193.42,66628400
12/04/2023,$189.43,43389520
